中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
140.238.126.52,443,2606:f240:f00:2be4:0:46ff:983a:40e2,US,Frankfurt,隧道,377 ms,48 Mbps,6265 kB/s
141.147.89.84,443,98.98.166.194,AE,Frankfurt,隧道,253 ms,16 Mbps,2090 kB/s
141.144.205.37,443,2a0b:21c0:1007:c9:0:491:d114:f224,DE,Frankfurt,隧道,214 ms,49 Mbps,6313 kB/s
152.70.249.67,443,2603:c022:8002:8700:556:6ae2:e4b0:4241,KR,Seoul,隧道,205 ms,82 Mbps,10547 kB/s
84.235.170.159,443,98.98.166.182,AE,Frankfurt,隧道,251 ms,50 Mbps,6524 kB/s
132.145.247.235,443,2a0b:21c0:1007:c9:0:53a4:7850:72a9,DE,Frankfurt,隧道,272 ms,50 Mbps,6519 kB/s
138.2.162.103,443,2606:f240:f00:2be4:0:7912:c016:2cc4,US,Frankfurt,隧道,249 ms,52 Mbps,6766 kB/s
146.56.157.246,443,104.28.249.212,KR,Tokyo,隧道,94 ms,42 Mbps,5392 kB/s
150.230.119.188,443,2a0b:21c0:100a:1f9:0:bd3c:d1dc:34b6,DE,Frankfurt,隧道,298 ms,46 Mbps,5974 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,177 ms,40 Mbps,5131 kB/s
141.144.200.176,443,2606:f240:f00:6acf:0:5393:b28:6099,US,Frankfurt,隧道,221 ms,61 Mbps,7820 kB/s
84.8.148.237,443,2a0b:21c0:1007:c8:0:9717:e221:4768,DE,Frankfurt,隧道,263 ms,34 Mbps,4388 kB/s
141.147.10.246,443,2a0b:21c0:1007:1cb:0:3809:ec32:ab01,DE,Frankfurt,隧道,262 ms,39 Mbps,4998 kB/s
158.179.206.143,443,158.179.206.143,SE,Stockholm,中转,345 ms,2 Mbps,364 kB/s
213.35.115.68,443,213.35.115.68,SG,Singapore,中转,243 ms,45 Mbps,5822 kB/s
158.180.60.24,443,98.98.166.170,AE,Frankfurt,隧道,357 ms,18 Mbps,2417 kB/s
150.230.196.248,443,150.230.196.248,JP,Tokyo,中转,239 ms,36 Mbps,4688 kB/s
